cycle,branch,expression,forecastdate,chamber_Dparty,chamber_Rparty,mean_seats_Dparty,mean_seats_Rparty,median_seats_Dparty,median_seats_Rparty,p90_seats_Dparty,p90_seats_Rparty,p10_seats_Dparty,p10_seats_Rparty,total_national_turnout,p90_total_national_turnout,p10_total_national_turnout,popvote_margin,p90_popvote_margin,p10_popvote_margin,simulations,timestamp
2020,Senate,_deluxe,9/25/20,.6208,.3792,50.69368,49.30632,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.499897,6.875942,-3.893049,40000,05:59:01 25 Sep 2020
2020,Senate,_deluxe,9/24/20,.622775,.377225,50.67493,49.32507,51,49,54,53,47,46,7.91e+07,8.66e+07,7.15e+07,1.479031,6.864573,-3.919197,40000,05:14:07 24 Sep 2020
2020,Senate,_deluxe,9/23/20,.603675,.396325,50.61517,49.38483,50,50,54,53,47,46,7.91e+07,8.66e+07,7.17e+07,1.433903,6.882406,-3.950741,40000,06:08:52 23 Sep 2020
2020,Senate,_deluxe,9/22/20,.60805,.39195,50.64827,49.35173,51,49,54,53,47,46,7.91e+07,8.67e+07,7.15e+07,1.467045,6.886349,-4.018377,40000,05:59:49 22 Sep 2020
2020,Senate,_deluxe,9/21/20,.596425,.403575,50.54013,49.45987,50,50,54,53,47,46,7.91e+07,8.67e+07,7.15e+07,1.378181,6.762928,-4.122158,40000,08:16:49 21 Sep 2020
2020,Senate,_deluxe,9/20/20,.57965,.42035,50.42785,49.57215,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.163502,6.595449,-4.306973,40000,05:12:53 20 Sep 2020
2020,Senate,_deluxe,9/19/20,.574375,.425625,50.38535,49.61465,50,50,54,53,47,46,7.91e+07,8.67e+07,7.15e+07,1.163456,6.487858,-4.307049,40000,06:18:59 19 Sep 2020
2020,Senate,_deluxe,9/18/20,.57935,.42065,50.4402,49.5598,50,50,54,53,47,46,7.91e+07,8.66e+07,7.16e+07,1.27729,6.735712,-4.201653,40000,05:19:18 18 Sep 2020
2020,Senate,_deluxe,9/17/20,.58,.42,50.46288,49.53712,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.337189,6.837536,-4.125919,40000,07:27:52 17 Sep 2020
2020,Senate,_deluxe,9/16/20,.572625,.427375,50.38757,49.61243,50,50,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,1.362164,6.859119,-4.090906,40000,10:30:02 16 Sep 2020
2020,Senate,_deluxe,9/15/20,.5789,.4211,50.43945,49.56055,50,50,54,53,47,46,7.91e+07,8.68e+07,7.17e+07,1.534534,7.046968,-3.961588,40000,13:33:07 15 Sep 2020
2020,Senate,_deluxe,9/14/20,.579,.421,50.44862,49.55135,50,50,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,1.566124,7.088425,-4.016979,40000,15:25:49 15 Sep 2020
2020,Senate,_deluxe,9/13/20,.576025,.423975,50.4222,49.5778,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.593948,7.088772,-4.009102,40000,15:26:16 15 Sep 2020
2020,Senate,_deluxe,9/12/20,.57815,.42185,50.4635,49.5365,50,50,54,53,47,46,7.91e+07,8.66e+07,7.16e+07,1.627129,7.18746,-3.950262,40000,15:26:08 15 Sep 2020
2020,Senate,_deluxe,9/11/20,.566475,.433525,50.38562,49.61438,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.555355,7.087814,-4.057898,40000,15:26:18 15 Sep 2020
2020,Senate,_deluxe,9/10/20,.569675,.430325,50.4148,49.5852,50,50,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.62738,7.183983,-3.977089,40000,15:25:59 15 Sep 2020
2020,Senate,_deluxe,9/9/20,.607375,.392625,50.67985,49.32015,51,49,54,53,47,46,7.91e+07,8.67e+07,7.15e+07,1.959156,7.538258,-3.586729,40000,15:44:02 15 Sep 2020
2020,Senate,_deluxe,9/8/20,.6024,.3976,50.66438,49.33562,51,49,54,53,47,46,7.91e+07,8.67e+07,7.15e+07,1.941944,7.542934,-3.619221,40000,15:44:12 15 Sep 2020
2020,Senate,_deluxe,9/7/20,.602175,.397825,50.67178,49.32822,51,49,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,1.975136,7.592756,-3.627741,40000,15:44:31 15 Sep 2020
2020,Senate,_deluxe,9/6/20,.601225,.398775,50.6708,49.3292,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,1.955601,7.548157,-3.650988,40000,15:43:56 15 Sep 2020
2020,Senate,_deluxe,9/5/20,.60625,.39375,50.71297,49.28703,51,49,54,53,47,46,7.91e+07,8.68e+07,7.15e+07,2.004616,7.63339,-3.633204,40000,15:44:00 15 Sep 2020
2020,Senate,_deluxe,9/4/20,.602425,.39755,50.6915,49.30848,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,2.02692,7.596979,-3.573818,40000,16:01:19 15 Sep 2020
2020,Senate,_deluxe,9/3/20,.59875,.40125,50.68013,49.31987,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,2.022461,7.598093,-3.68355,40000,16:01:11 15 Sep 2020
2020,Senate,_deluxe,9/2/20,.602,.398,50.68723,49.31277,51,49,54,53,47,46,7.91e+07,8.65e+07,7.16e+07,2.009487,7.670397,-3.640902,40000,16:01:50 15 Sep 2020
2020,Senate,_deluxe,9/1/20,.60455,.39545,50.72332,49.27668,51,49,54,53,47,46,7.91e+07,8.66e+07,7.15e+07,2.121819,7.717239,-3.579273,40000,16:00:54 15 Sep 2020
2020,Senate,_deluxe,8/31/20,.59785,.40215,50.69055,49.30945,51,49,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,2.026016,7.714005,-3.625425,40000,16:01:19 15 Sep 2020
2020,Senate,_deluxe,8/30/20,.623325,.376675,50.86163,49.13837,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.374165,7.937784,-3.280746,40000,16:18:42 15 Sep 2020
2020,Senate,_deluxe,8/29/20,.62835,.37165,50.8848,49.1152,51,49,55,53,47,45,7.91e+07,8.67e+07,7.17e+07,2.43618,8.129072,-3.306482,40000,16:18:56 15 Sep 2020
2020,Senate,_deluxe,8/28/20,.61975,.38025,50.84075,49.15925,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.373959,8.006062,-3.308146,40000,16:18:38 15 Sep 2020
2020,Senate,_deluxe,8/27/20,.615475,.384525,50.8151,49.1849,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.328201,8.071695,-3.395067,40000,16:18:02 15 Sep 2020
2020,Senate,_deluxe,8/26/20,.616125,.383875,50.80767,49.1923,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.334206,7.998959,-3.387796,40000,16:18:45 15 Sep 2020
2020,Senate,_deluxe,8/25/20,.612275,.387725,50.78003,49.21997,51,49,54.5,53,47,45.5,7.91e+07,8.67e+07,7.15e+07,2.273098,7.963966,-3.421038,40000,16:35:54 15 Sep 2020
2020,Senate,_deluxe,8/24/20,.61995,.38005,50.8214,49.1786,51,49,55,53,47,45,7.91e+07,8.68e+07,7.16e+07,2.259819,7.952581,-3.419355,40000,16:36:13 15 Sep 2020
2020,Senate,_deluxe,8/23/20,.608225,.391775,50.74405,49.25595,51,49,54,53,47,46,7.91e+07,8.68e+07,7.16e+07,2.204723,7.844793,-3.572065,40000,16:35:49 15 Sep 2020
2020,Senate,_deluxe,8/22/20,.613425,.386575,50.7649,49.2351,51,49,54.5,53,47,45.5,7.91e+07,8.67e+07,7.16e+07,2.236557,7.942118,-3.509378,40000,16:35:04 15 Sep 2020
2020,Senate,_deluxe,8/21/20,.61595,.38405,50.77977,49.22023,51,49,54,53,47,46,7.91e+07,8.67e+07,7.16e+07,2.300499,8.025209,-3.453119,40000,16:35:58 15 Sep 2020
2020,Senate,_deluxe,8/20/20,.615175,.384825,50.78925,49.21075,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.358398,8.117973,-3.435448,40000,16:53:13 15 Sep 2020
2020,Senate,_deluxe,8/19/20,.6165,.3835,50.79433,49.20567,51,49,55,53,47,45,7.91e+07,8.68e+07,7.15e+07,2.344395,8.107809,-3.468662,40000,16:53:16 15 Sep 2020
2020,Senate,_deluxe,8/18/20,.625025,.374975,50.84457,49.15543,51,49,55,53,47,45,7.91e+07,8.68e+07,7.17e+07,2.355598,8.157019,-3.430838,40000,16:52:39 15 Sep 2020
2020,Senate,_deluxe,8/17/20,.620275,.379725,50.83665,49.16335,51,49,55,53,47,45,7.91e+07,8.66e+07,7.16e+07,2.401237,8.172903,-3.409449,40000,16:51:32 15 Sep 2020
2020,Senate,_deluxe,8/16/20,.619375,.380625,50.80345,49.19655,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.348885,8.102806,-3.517538,40000,16:53:12 15 Sep 2020
2020,Senate,_deluxe,8/15/20,.621675,.378325,50.83215,49.16785,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.365932,8.125683,-3.426662,40000,17:10:19 15 Sep 2020
2020,Senate,_deluxe,8/14/20,.618475,.381525,50.8158,49.1842,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.328716,8.15254,-3.500912,40000,17:10:21 15 Sep 2020
2020,Senate,_deluxe,8/13/20,.623425,.376575,50.8638,49.1362,51,49,55,53,47,45,7.91e+07,8.66e+07,7.15e+07,2.375286,8.193369,-3.434814,40000,17:09:41 15 Sep 2020
2020,Senate,_deluxe,8/12/20,.625475,.374525,50.8573,49.1427,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.386211,8.219704,-3.425402,40000,17:08:35 15 Sep 2020
2020,Senate,_deluxe,8/11/20,.63115,.36885,50.91245,49.08755,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.512409,8.355715,-3.307793,40000,17:10:06 15 Sep 2020
2020,Senate,_deluxe,8/10/20,.6345,.3655,50.9563,49.0437,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.598598,8.467239,-3.282997,40000,17:27:08 15 Sep 2020
2020,Senate,_deluxe,8/9/20,.637525,.362475,50.98207,49.01793,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.634544,8.516914,-3.188482,40000,17:27:45 15 Sep 2020
2020,Senate,_deluxe,8/8/20,.633775,.366225,50.92823,49.07177,51,49,55,53,47,45,7.82e+07,8.58e+07,7.07e+07,2.599392,8.429995,-3.219648,40000,17:26:51 15 Sep 2020
2020,Senate,_deluxe,8/7/20,.6334,.3666,50.91518,49.08482,51,49,55,53,47,45,7.82e+07,8.58e+07,7.08e+07,2.606941,8.521078,-3.254423,40000,17:25:45 15 Sep 2020
2020,Senate,_deluxe,8/6/20,.636375,.363625,50.95725,49.04275,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.70245,8.543621,-3.299587,40000,17:27:19 15 Sep 2020
2020,Senate,_deluxe,8/5/20,.63275,.36725,50.91042,49.08958,51,49,55,53,47,45,7.82e+07,8.58e+07,7.08e+07,2.71978,8.55588,-3.177225,40000,17:44:10 15 Sep 2020
2020,Senate,_deluxe,8/4/20,.6289,.371075,50.89195,49.10802,51,49,55,53,47,45,7.82e+07,8.60e+07,7.08e+07,2.744652,8.551409,-3.117207,40000,17:45:04 15 Sep 2020
2020,Senate,_deluxe,8/3/20,.627675,.372325,50.88173,49.11827,51,49,55,53,47,45,7.82e+07,8.58e+07,7.07e+07,2.71228,8.551277,-3.210114,40000,17:44:35 15 Sep 2020
2020,Senate,_deluxe,8/2/20,.61945,.38055,50.81562,49.18438,51,49,55,53,47,45,7.82e+07,8.59e+07,7.07e+07,2.592117,8.505878,-3.357876,40000,17:43:27 15 Sep 2020
2020,Senate,_deluxe,8/1/20,.620075,.379925,50.8099,49.1901,51,49,54,53,47,46,7.82e+07,8.58e+07,7.07e+07,2.551094,8.399731,-3.493368,40000,17:44:31 15 Sep 2020
2020,Senate,_classic,11/2/20,.776725,.223275,51.90655,48.09343,52,48,56,52,48,44,8.51e+07,9.31e+07,7.73e+07,3.052158,7.534103,-1.479359,40000,20:52:33  2 Nov 2020
2020,Senate,_classic,11/1/20,.784675,.215325,52.02502,47.97498,52,48,56,52,48,44,8.51e+07,9.32e+07,7.72e+07,3.488808,8.139114,-1.141758,40000,23:31:42  1 Nov 2020
2020,Senate,_classic,10/31/20,.799225,.200775,52.1928,47.8072,52,48,56,51,49,44,8.51e+07,9.29e+07,7.72e+07,3.678299,8.305593,-.9345627,40000,22:02:28 31 Oct 2020
2020,Senate,_classic,10/30/20,.804875,.195125,52.2786,47.7214,52,48,56,51,49,44,8.51e+07,9.30e+07,7.73e+07,3.706909,8.411818,-.9178772,40000,21:39:34 30 Oct 2020
2020,Senate,_classic,10/29/20,.797475,.202525,52.22585,47.77415,52,48,56,52,48,44,8.48e+07,9.28e+07,7.71e+07,3.685253,8.37438,-1.025465,40000,22:22:29 29 Oct 2020
2020,Senate,_classic,10/28/20,.790075,.209925,52.15297,47.84703,52,48,56,52,48,44,8.48e+07,9.27e+07,7.70e+07,3.791222,8.503971,-.9664345,40000,21:42:27 28 Oct 2020
2020,Senate,_classic,10/27/20,.77325,.22675,51.91208,48.08792,52,48,56,52,48,44,8.48e+07,9.27e+07,7.71e+07,3.047562,7.813395,-1.720547,40000,21:09:24 27 Oct 2020
2020,Senate,_classic,10/26/20,.7742,.2258,52.00925,47.99075,52,48,56,52,48,44,8.48e+07,9.28e+07,7.69e+07,3.071648,7.938585,-1.746891,40000,21:26:28 26 Oct 2020
2020,Senate,_classic,10/25/20,.77455,.22545,52.00695,47.99305,52,48,56,52,48,44,8.48e+07,9.28e+07,7.70e+07,3.169426,7.980806,-1.686481,40000,20:09:58 25 Oct 2020
2020,Senate,_classic,10/24/20,.77025,.22975,52.00813,47.99187,52,48,56,52,48,44,8.48e+07,9.28e+07,7.71e+07,3.137913,8.060961,-1.772993,40000,21:04:43 24 Oct 2020
2020,Senate,_classic,10/23/20,.767875,.232125,51.95655,48.04345,52,48,56,52,48,44,8.48e+07,9.26e+07,7.70e+07,3.13406,8.007793,-1.795267,40000,22:24:40 23 Oct 2020
2020,Senate,_classic,10/22/20,.778675,.221325,52.0818,47.9182,52,48,56,52,48,44,8.48e+07,9.26e+07,7.69e+07,3.185631,8.098738,-1.7568,40000,20:09:52 22 Oct 2020
2020,Senate,_classic,10/21/20,.7781,.2219,52.07267,47.92733,52,48,56,52,48,44,8.18e+07,8.93e+07,7.42e+07,3.103157,8.087502,-1.889734,40000,21:19:27 21 Oct 2020
2020,Senate,_classic,10/20/20,.7875,.2125,52.15953,47.84045,52,48,56,52,48,44,8.03e+07,8.79e+07,7.28e+07,3.070442,8.11409,-1.943113,40000,22:22:23 20 Oct 2020
2020,Senate,_classic,10/19/20,.785,.215,52.07473,47.92527,52,48,56,52,48,44,8.03e+07,8.79e+07,7.27e+07,2.98983,7.937,-1.992599,40000,22:02:22 19 Oct 2020
2020,Senate,_classic,10/18/20,.78865,.21135,52.15088,47.84908,52,48,56,52,48,44,8.03e+07,8.79e+07,7.29e+07,3.022923,8.035324,-2.019974,40000,21:30:18 18 Oct 2020
2020,Senate,_classic,10/17/20,.7794,.2206,52.06557,47.93443,52,48,56,52,48,44,8.03e+07,8.80e+07,7.28e+07,2.970196,8.088522,-2.08676,40000,21:09:57 17 Oct 2020
2020,Senate,_classic,10/16/20,.76825,.23175,51.90913,48.09085,52,48,56,52,48,44,8.03e+07,8.79e+07,7.27e+07,2.855484,7.942833,-2.217028,40000,21:17:51 16 Oct 2020
2020,Senate,_classic,10/15/20,.759475,.240525,51.80297,48.19703,52,48,56,52,48,44,8.03e+07,8.79e+07,7.28e+07,2.609356,7.718861,-2.456085,40000,23:28:20 15 Oct 2020
2020,Senate,_classic,10/14/20,.76415,.23585,51.84015,48.15985,52,48,56,52,48,44,8.03e+07,8.79e+07,7.27e+07,2.659489,7.774279,-2.427998,40000,20:31:15 14 Oct 2020
2020,Senate,_classic,10/13/20,.7275,.2725,51.47155,48.52842,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.441273,7.56563,-2.666185,40000,22:22:14 13 Oct 2020
2020,Senate,_classic,10/12/20,.722125,.277875,51.48162,48.51838,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.460701,7.598906,-2.667721,40000,20:22:45 12 Oct 2020
2020,Senate,_classic,10/11/20,.7234,.2766,51.4731,48.52687,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.320896,7.505451,-2.814022,40000,20:34:22 11 Oct 2020
2020,Senate,_classic,10/10/20,.71895,.28105,51.46835,48.53165,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.346592,7.502447,-2.855532,40000,20:09:29 10 Oct 2020
2020,Senate,_classic,10/9/20,.716575,.283425,51.42532,48.57468,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.300919,7.531988,-2.968718,40000,20:09:27  9 Oct 2020
2020,Senate,_classic,10/8/20,.7156,.2844,51.44682,48.55318,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.347324,7.586992,-2.885197,40000,21:31:18  8 Oct 2020
2020,Senate,_classic,10/7/20,.7055,.2945,51.36145,48.63855,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.333405,7.535641,-2.976486,40000,21:39:25  7 Oct 2020
2020,Senate,_classic,10/6/20,.706225,.293775,51.39565,48.60435,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.291679,7.458542,-2.975784,40000,21:58:37  6 Oct 2020
2020,Senate,_classic,10/5/20,.673825,.326175,51.10352,48.89648,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,1.860023,7.135571,-3.430105,40000,07:34:16  5 Oct 2020
2020,Senate,_classic,10/4/20,.679025,.320975,51.19625,48.80375,51,49,55,53,47,45,7.91e+07,8.68e+07,7.16e+07,1.963196,7.296251,-3.271809,40000,07:51:17  4 Oct 2020
2020,Senate,_classic,10/3/20,.684775,.315225,51.24292,48.75708,51,49,55,52,48,45,7.91e+07,8.68e+07,7.15e+07,2.079945,7.322853,-3.185265,40000,08:16:56  3 Oct 2020
2020,Senate,_classic,10/2/20,.689925,.310075,51.24503,48.75497,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.024628,7.302271,-3.277988,40000,08:10:05  2 Oct 2020
2020,Senate,_classic,10/1/20,.673775,.326225,51.18982,48.81015,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,1.978634,7.317322,-3.336739,40000,08:12:03  1 Oct 2020
2020,Senate,_classic,9/30/20,.680275,.319725,51.23658,48.76342,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.110394,7.460453,-3.179579,40000,07:38:16 30 Sep 2020
2020,Senate,_classic,9/29/20,.674925,.325075,51.15905,48.84095,51,49,55,53,47,45,7.91e+07,8.66e+07,7.15e+07,2.146687,7.518515,-3.173346,40000,08:25:59 29 Sep 2020
2020,Senate,_classic,9/28/20,.675725,.324275,51.17095,48.82905,51,49,55,53,47,45,7.91e+07,8.68e+07,7.15e+07,2.236118,7.537054,-3.093519,40000,07:27:08 28 Sep 2020
2020,Senate,_classic,9/27/20,.67645,.32355,51.17215,48.82785,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.227993,7.546034,-3.110189,40000,11:30:12 27 Sep 2020
2020,Senate,_classic,9/26/20,.67175,.32825,51.16433,48.83567,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.227829,7.595568,-3.102829,40000,07:13:05 26 Sep 2020
2020,Senate,_classic,9/25/20,.674925,.325075,51.1991,48.8009,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.207932,7.632343,-3.218107,40000,05:59:01 25 Sep 2020
2020,Senate,_classic,9/24/20,.6752,.3248,51.17645,48.82355,51,49,55,53,47,45,7.91e+07,8.66e+07,7.15e+07,2.213512,7.643667,-3.23144,40000,05:14:07 24 Sep 2020
2020,Senate,_classic,9/23/20,.6676,.3324,51.14025,48.85975,51,49,55,53,47,45,7.91e+07,8.66e+07,7.17e+07,2.191113,7.681808,-3.231899,40000,06:08:52 23 Sep 2020
2020,Senate,_classic,9/22/20,.67145,.32855,51.1808,48.8192,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.244747,7.705471,-3.280046,40000,05:59:49 22 Sep 2020
2020,Senate,_classic,9/21/20,.657875,.342125,51.04057,48.95943,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,2.105812,7.530394,-3.43257,40000,08:16:49 21 Sep 2020
2020,Senate,_classic,9/20/20,.644475,.355525,50.9225,49.0775,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,1.876656,7.360874,-3.631933,40000,05:12:53 20 Sep 2020
2020,Senate,_classic,9/19/20,.6368,.3632,50.84895,49.15105,51,49,55,53,47,45,7.91e+07,8.67e+07,7.15e+07,1.86784,7.232037,-3.643633,40000,06:18:59 19 Sep 2020
2020,Senate,_classic,9/18/20,.63865,.36135,50.89865,49.10135,51,49,55,53,47,45,7.91e+07,8.66e+07,7.16e+07,1.965538,7.457235,-3.553396,40000,05:19:18 18 Sep 2020
2020,Senate,_classic,9/17/20,.64045,.35955,50.91293,49.08707,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.005104,7.544662,-3.495787,40000,07:27:52 17 Sep 2020
2020,Senate,_classic,9/16/20,.6292,.3708,50.81475,49.18525,51,49,55,53,47,45,7.91e+07,8.68e+07,7.16e+07,2.045372,7.587858,-3.449486,40000,10:30:02 16 Sep 2020
2020,Senate,_classic,9/15/20,.6359,.3641,50.88778,49.1122,51,49,55,53,47,45,7.91e+07,8.68e+07,7.17e+07,2.261742,7.813337,-3.279194,40000,13:33:07 15 Sep 2020
2020,Senate,_classic,9/14/20,.63475,.36525,50.8891,49.11087,51,49,55,53,47,45,7.91e+07,8.68e+07,7.16e+07,2.295887,7.851231,-3.321987,40000,15:25:49 15 Sep 2020
2020,Senate,_classic,9/13/20,.6313,.3687,50.8619,49.1381,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.314285,7.84601,-3.333521,40000,15:26:16 15 Sep 2020
2020,Senate,_classic,9/12/20,.6354,.3646,50.9086,49.0914,51,49,55,53,47,45,7.91e+07,8.66e+07,7.16e+07,2.352962,7.954117,-3.269558,40000,15:26:08 15 Sep 2020
2020,Senate,_classic,9/11/20,.6236,.3764,50.83195,49.16805,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.290981,7.871773,-3.355373,40000,15:26:18 15 Sep 2020
2020,Senate,_classic,9/10/20,.62515,.37485,50.8421,49.1579,51,49,55,53,47,45,7.91e+07,8.67e+07,7.16e+07,2.352432,7.949118,-3.29353,40000,15:25:59 15 Sep 2020
2020,Senate,_classic,9/9/20,.6659,.3341,51.1517,48.8483,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.626118,8.245184,-2.97229,40000,15:44:02 15 Sep 2020
2020,Senate,_classic,9/8/20,.6588,.3412,51.13842,48.86155,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.613514,8.246296,-2.990183,40000,15:44:12 15 Sep 2020
2020,Senate,_classic,9/7/20,.6616,.3384,51.1421,48.8579,51,49,55,52,48,45,7.91e+07,8.68e+07,7.16e+07,2.64743,8.312979,-3.007277,40000,15:44:31 15 Sep 2020
2020,Senate,_classic,9/6/20,.6617,.3383,51.16037,48.83963,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.643299,8.270061,-3.006826,40000,15:43:56 15 Sep 2020
2020,Senate,_classic,9/5/20,.6673,.3327,51.19765,48.80235,51,49,55,52,48,45,7.91e+07,8.68e+07,7.15e+07,2.685974,8.354834,-3.000622,40000,15:44:00 15 Sep 2020
2020,Senate,_classic,9/4/20,.665375,.334625,51.1827,48.8173,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.706181,8.31687,-2.949152,40000,16:01:19 15 Sep 2020
2020,Senate,_classic,9/3/20,.66055,.33945,51.16722,48.83278,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.698822,8.315125,-3.055119,40000,16:01:11 15 Sep 2020
2020,Senate,_classic,9/2/20,.65995,.34005,51.1694,48.8306,51,49,55,52,48,45,7.91e+07,8.65e+07,7.16e+07,2.69035,8.380289,-3.005119,40000,16:01:50 15 Sep 2020
2020,Senate,_classic,9/1/20,.666875,.333125,51.22038,48.77962,51,49,55,52,48,45,7.91e+07,8.66e+07,7.15e+07,2.820358,8.455105,-2.919214,40000,16:00:54 15 Sep 2020
2020,Senate,_classic,8/31/20,.660825,.339175,51.18982,48.81012,51,49,55,52,48,45,7.91e+07,8.68e+07,7.16e+07,2.7313,8.46526,-2.978359,40000,16:01:19 15 Sep 2020
2020,Senate,_classic,8/30/20,.683875,.316125,51.36705,48.63295,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,3.047306,8.666363,-2.654753,40000,16:18:42 15 Sep 2020
2020,Senate,_classic,8/29/20,.687375,.312625,51.39433,48.60567,51,49,55,52,48,45,7.91e+07,8.67e+07,7.17e+07,3.110367,8.852831,-2.675814,40000,16:18:56 15 Sep 2020
2020,Senate,_classic,8/28/20,.678575,.321425,51.33842,48.66158,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,3.049503,8.728172,-2.667782,40000,16:18:38 15 Sep 2020
2020,Senate,_classic,8/27/20,.67325,.32675,51.3058,48.6942,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,3.002167,8.773441,-2.753565,40000,16:18:02 15 Sep 2020
2020,Senate,_classic,8/26/20,.67385,.326125,51.30558,48.69437,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,3.008331,8.723366,-2.751244,40000,16:18:45 15 Sep 2020
2020,Senate,_classic,8/25/20,.672775,.327225,51.27267,48.72733,51,49,55,52,48,45,7.91e+07,8.67e+07,7.15e+07,2.954773,8.678802,-2.778151,40000,16:35:54 15 Sep 2020
2020,Senate,_classic,8/24/20,.677475,.322525,51.31,48.69,51,49,55,52,48,45,7.91e+07,8.68e+07,7.16e+07,2.933697,8.672272,-2.786457,40000,16:36:13 15 Sep 2020
2020,Senate,_classic,8/23/20,.66735,.33265,51.2351,48.7649,51,49,55,52,48,45,7.91e+07,8.68e+07,7.16e+07,2.88224,8.571358,-2.931644,40000,16:35:49 15 Sep 2020
2020,Senate,_classic,8/22/20,.6711,.3289,51.26247,48.73753,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,2.934364,8.684504,-2.859152,40000,16:35:04 15 Sep 2020
2020,Senate,_classic,8/21/20,.674975,.325025,51.2776,48.7224,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,3.007843,8.760595,-2.793558,40000,16:35:58 15 Sep 2020
2020,Senate,_classic,8/20/20,.677375,.322625,51.28297,48.71703,51,49,55,52,48,45,7.91e+07,8.67e+07,7.16e+07,3.05619,8.856171,-2.775951,40000,16:53:13 15 Sep 2020
2020,Senate,_classic,8/19/20,.67525,.32475,51.2809,48.7191,51,49,55,52,48,45,7.91e+07,8.68e+07,7.15e+07,3.042828,8.847616,-2.813097,40000,16:53:16 15 Sep 2020
2020,Senate,_classic,8/18/20,.68225,.31775,51.34137,48.65863,51,49,55,52,48,45,7.91e+07,8.68e+07,7.17e+07,3.060413,8.909094,-2.768064,40000,16:52:39 15 Sep 2020
2020,Senate,_classic,8/17/20,.6814,.3186,51.33873,48.66125,51,49,55,52,48,45,7.91e+07,8.66e+07,7.16e+07,3.105438,8.914583,-2.748381,40000,16:51:32 15 Sep 2020
